,C,D,L,p,norm
1,0.1078,0.08307,0.809,1,Defector
782,0.1183,0.0871,0.7944,1,Loner
783,0.11694,0.09875,0.784,1,Neither
784,0.1139,0.08386,0.8022,1,Both
482,0.1193,0.09705,0.7837,1,Loner
1144,0.1268,0.07825,0.795,1,Both
1143,0.1216,0.0899,0.7886,1,Neither
841,0.11316,0.08923,0.7974,1,Defector
842,0.1174,0.0814,0.8013,1,Loner
184,0.12036,0.0871,0.7925,1,Both
183,0.1176,0.0899,0.7925,1,Neither
182,0.10516,0.08075,0.814,1,Loner
181,0.1099,0.086,0.804,1,Defector
843,0.11646,0.08124,0.8022,1,Neither
844,0.1237,0.0899,0.7866,1,Both
781,0.1209,0.08636,0.7925,1,Defector
1142,0.11523,0.0791,0.8057,1,Loner
901,0.1171,0.08044,0.8022,1,Defector
902,0.1126,0.0884,0.799,1,Loner
903,0.1138,0.08655,0.8,1,Neither
904,0.1133,0.0837,0.803,1,Both
124,0.1285,0.09,0.7812,1,Both
123,0.10864,0.0866,0.8047,1,Neither
122,0.10205,0.0802,0.818,1,Loner
121,0.1209,0.08344,0.796,1,Defector
961,0.1219,0.0897,0.7886,1,Defector
962,0.1052,0.08234,0.8125,1,Loner
963,0.10925,0.08655,0.804,1,Neither
964,0.1166,0.09595,0.7876,1,Both
1021,0.1159,0.08923,0.795,1,Defector
1022,0.1072,0.0799,0.813,1,Loner
1141,0.1154,0.0888,0.796,1,Defector
241,0.1076,0.0898,0.8027,1,Defector
242,0.118,0.09076,0.791,1,Loner
243,0.11566,0.0874,0.797,1,Neither
483,0.1172,0.08795,0.795,1,Neither
484,0.12067,0.0941,0.785,1,Both
424,0.12054,0.0903,0.789,1,Both
423,0.1125,0.07935,0.808,1,Neither
422,0.11456,0.0838,0.802,1,Loner
421,0.1164,0.0858,0.798,1,Defector
541,0.1222,0.0889,0.789,1,Defector
542,0.1356,0.086,0.7783,1,Loner
543,0.11676,0.08545,0.798,1,Neither
544,0.1162,0.08746,0.7964,1,Both
364,0.1215,0.0952,0.783,1,Both
363,0.12006,0.09357,0.786,1,Neither
362,0.1285,0.0856,0.7856,1,Loner
361,0.111,0.08014,0.8086,1,Defector
601,0.1093,0.0776,0.813,1,Defector
602,0.1272,0.0885,0.784,1,Loner
603,0.11316,0.08875,0.798,1,Neither
244,0.1213,0.0854,0.7935,1,Both
724,0.108,0.08453,0.8076,1,Both
723,0.1086,0.096,0.7954,1,Neither
722,0.1218,0.0853,0.793,1,Loner
721,0.1088,0.0831,0.808,1,Defector
301,0.1004,0.08026,0.8193,1,Defector
1023,0.11664,0.083,0.8003,1,Neither
302,0.1175,0.0817,0.801,1,Loner
304,0.1243,0.0885,0.787,1,Both
664,0.1176,0.0829,0.7993,1,Both
663,0.1132,0.0846,0.8022,1,Neither
662,0.11487,0.08466,0.8003,1,Loner
661,0.1129,0.085,0.8022,1,Defector
604,0.1088,0.0891,0.8022,1,Both
303,0.1266,0.08856,0.7847,1,Neither
1024,0.1155,0.0767,0.8076,1,Both
481,0.1129,0.0852,0.802,1,Defector
64,0.1157,0.086,0.7983,1,Both
2,0.1261,0.08655,0.787,1,Loner
3,0.12164,0.09186,0.7866,1,Neither
4,0.1182,0.0841,0.798,1,Both
1084,0.1163,0.0824,0.8013,1,Both
1083,0.1129,0.0832,0.8037,1,Neither
1082,0.11536,0.08093,0.8037,1,Loner
61,0.1097,0.0865,0.8037,1,Defector
62,0.11066,0.08746,0.802,1,Loner
63,0.12146,0.0849,0.7935,1,Neither
1081,0.10956,0.0881,0.8022,1,Defector
605,0.1459,0.0745,0.78,2,Defector
727,0.1376,0.0892,0.773,2,Neither
365,0.1665,0.08246,0.751,2,Defector
366,0.09216,0.064,0.8438,2,Loner
787,0.1247,0.08887,0.7866,2,Neither
368,0.04102,0.02373,0.935,2,Both
606,0.08026,0.06073,0.859,2,Loner
128,0.04294,0.02625,0.9307,2,Both
127,0.1197,0.0895,0.791,2,Neither
126,0.0815,0.05908,0.8594,2,Loner
125,0.1542,0.0774,0.7686,2,Defector
728,0.03958,0.02357,0.937,2,Both
1148,0.04227,0.02592,0.9316,2,Both
367,0.1278,0.0918,0.7803,2,Neither
607,0.11273,0.0775,0.8096,2,Neither
726,0.07965,0.0567,0.864,2,Loner
1147,0.1295,0.09265,0.778,2,Neither
247,0.1161,0.0854,0.7983,2,Neither
246,0.0875,0.05963,0.853,2,Loner
668,0.0388,0.02496,0.936,2,Both
667,0.1205,0.08734,0.792,2,Neither
305,0.1571,0.0846,0.7583,2,Defector
306,0.095,0.066,0.839,2,Loner
307,0.1214,0.08167,0.797,2,Neither
905,0.1562,0.0812,0.7627,2,Defector
906,0.0888,0.0578,0.8535,2,Loner
907,0.1214,0.09125,0.787,2,Neither
908,0.04443,0.02554,0.93,2,Both
308,0.03964,0.02402,0.9365,2,Both
245,0.1619,0.0855,0.7524,2,Defector
185,0.148,0.07635,0.776,2,Defector
186,0.0851,0.06198,0.853,2,Loner
187,0.1224,0.08875,0.789,2,Neither
666,0.0859,0.05777,0.8564,2,Loner
665,0.1602,0.0856,0.7544,2,Defector
188,0.04214,0.02287,0.935,2,Both
845,0.1504,0.08057,0.769,2,Defector
725,0.1558,0.0896,0.7544,2,Defector
608,0.03656,0.02168,0.942,2,Both
846,0.08545,0.0594,0.855,2,Loner
547,0.11487,0.09576,0.7896,2,Neither
1087,0.1121,0.085,0.8027,2,Neither
65,0.1556,0.0738,0.7705,2,Defector
66,0.09406,0.06128,0.8447,2,Loner
67,0.12476,0.08136,0.794,2,Neither
68,0.03952,0.02234,0.938,2,Both
1025,0.153,0.0861,0.7607,2,Defector
1026,0.08356,0.05576,0.861,2,Loner
1027,0.11346,0.08734,0.7993,2,Neither
427,0.1102,0.08093,0.8086,2,Neither
1028,0.03583,0.02025,0.944,2,Both
1085,0.1444,0.0777,0.778,2,Defector
788,0.04327,0.0265,0.93,2,Both
847,0.11316,0.08734,0.7993,2,Neither
848,0.04016,0.01936,0.9404,2,Both
487,0.123,0.0891,0.788,2,Neither
486,0.0874,0.06024,0.8525,2,Loner
485,0.1544,0.079,0.7666,2,Defector
428,0.04062,0.02122,0.938,2,Both
