,C,D,L,_destination_path,social_norm,t,c,r,sigma,n,N,epsilon1,epsilon2,omega,alpha,beta,p,zeta
0,1.0,0.0,0.0,/tmpdir/job/1382629.1,Defector,200000,1,3,1,2,40,0.1,1.0,0.9090909090909091,0,0,1,0.1
1,1.0,0.0,0.0,/tmpdir/job/1382629.2,Loner,200000,1,3,1,2,40,0.1,1.0,0.9090909090909091,0,0,1,0.1
2,1.0,0.0,0.0,/tmpdir/job/1382629.3,Neither,200000,1,3,1,2,40,0.1,1.0,0.9090909090909091,0,0,1,0.1
3,1.0,0.0,0.0,/tmpdir/job/1382629.4,Both,200000,1,3,1,2,40,0.1,1.0,0.9090909090909091,0,0,1,0.1
4,0.99999972,1.3885e-07,1.3885e-07,/tmpdir/job/1382629.5,Defector,200000,1,3,1,2,40,0.1,1.0,0.9090909090909091,0,0,2,0.1
5,0.999999863,1.3885e-07,0.0,/tmpdir/job/1382629.6,Loner,200000,1,3,1,2,40,0.1,1.0,0.9090909090909091,0,0,2,0.1
6,1.0,0.0,0.0,/tmpdir/job/1382629.7,Neither,200000,1,3,1,2,40,0.1,1.0,0.9090909090909091,0,0,2,0.1
7,0.9999999799999999,1.984e-08,0.0,/tmpdir/job/1382629.8,Both,200000,1,3,1,2,40,0.1,1.0,0.9090909090909091,0,0,2,0.1
8,0.9999992689999999,2.8834e-07,4.443e-07,/tmpdir/job/1382629.9,Defector,200000,1,3,1,2,40,0.1,1.0,0.9090909090909091,0,0,3,0.1
9,0.9999973650000001,1.4855799999999999e-06,1.14397e-06,/tmpdir/job/1382629.10,Loner,200000,1,3,1,2,40,0.1,1.0,0.9090909090909091,0,0,3,0.1
10,0.9999996000000001,4.0136e-07,0.0,/tmpdir/job/1382629.11,Neither,200000,1,3,1,2,40,0.1,1.0,0.9090909090909091,0,0,3,0.1
11,0.9999991630000001,2.777e-07,5.554e-07,/tmpdir/job/1382629.12,Both,200000,1,3,1,2,40,0.1,1.0,0.9090909090909091,0,0,3,0.1
12,0.9999999220000001,7.87e-08,0.0,/tmpdir/job/1382629.13,Defector,200000,1,3,1,2,40,0.1,1.0,0.9090909090909091,0,0,4,0.1
13,0.999999902,9.937599999999999e-08,0.0,/tmpdir/job/1382629.14,Loner,200000,1,3,1,2,40,0.1,1.0,0.9090909090909091,0,0,4,0.1
14,1.0,0.0,0.0,/tmpdir/job/1382629.15,Neither,200000,1,3,1,2,40,0.1,1.0,0.9090909090909091,0,0,4,0.1
15,0.999999443,2.777e-07,2.777e-07,/tmpdir/job/1382629.16,Both,200000,1,3,1,2,40,0.1,1.0,0.9090909090909091,0,0,4,0.1
16,0.9999995450000001,4.5627e-07,0.0,/tmpdir/job/1382629.17,Defector,200000,1,3,1,2,40,0.1,1.0,0.9090909090909091,0,0,5,0.1
17,0.999999857,6.172e-08,7.934999999999999e-08,/tmpdir/job/1382629.18,Loner,200000,1,3,1,2,40,0.1,1.0,0.9090909090909091,0,0,5,0.1
18,0.99999936,6.943000000000001e-08,5.644e-07,/tmpdir/job/1382629.19,Neither,200000,1,3,1,2,40,0.1,1.0,0.9090909090909091,0,0,5,0.1
19,1.0,0.0,0.0,/tmpdir/job/1382629.20,Both,200000,1,3,1,2,40,0.1,1.0,0.9090909090909091,0,0,5,0.1
20,0.9999994759999999,1.5519e-07,3.6346999999999996e-07,/tmpdir/job/1382629.21,Defector,200000,1,3,1,2,40,0.1,1.0,0.9090909090909091,0,0,6,0.1
21,0.9999991630000001,8.330999999999999e-07,0.0,/tmpdir/job/1382629.22,Loner,200000,1,3,1,2,40,0.1,1.0,0.9090909090909091,0,0,6,0.1
22,0.9999999799999999,1.984e-08,0.0,/tmpdir/job/1382629.23,Neither,200000,1,3,1,2,40,0.1,1.0,0.9090909090909091,0,0,6,0.1
23,0.9999996290000002,5.554e-08,3.1739999999999997e-07,/tmpdir/job/1382629.24,Both,200000,1,3,1,2,40,0.1,1.0,0.9090909090909091,0,0,6,0.1
24,0.99999866,7.883699999999999e-07,5.554e-07,/tmpdir/job/1382629.25,Defector,200000,1,3,1,2,40,0.1,1.0,0.9090909090909091,0,0,7,0.1
25,0.99999968,3.1737e-07,0.0,/tmpdir/job/1382629.26,Loner,200000,1,3,1,2,40,0.1,1.0,0.9090909090909091,0,0,7,0.1
26,0.999999443,0.0,5.554e-07,/tmpdir/job/1382629.27,Neither,200000,1,3,1,2,40,0.1,1.0,0.9090909090909091,0,0,7,0.1
27,0.9999989610000001,3.8405e-07,6.572999999999999e-07,/tmpdir/job/1382629.28,Both,200000,1,3,1,2,40,0.1,1.0,0.9090909090909091,0,0,7,0.1
28,0.9999999559999999,2.777e-08,1.389e-08,/tmpdir/job/1382629.29,Defector,200000,1,3,1,2,40,0.1,1.0,0.9090909090909091,0,0,8,0.1
29,0.9999988860000001,8.330999999999999e-07,2.777e-07,/tmpdir/job/1382629.30,Loner,200000,1,3,1,2,40,0.1,1.0,0.9090909090909091,0,0,8,0.1
30,0.999999419,5.8065e-07,0.0,/tmpdir/job/1382629.31,Neither,200000,1,3,1,2,40,0.1,1.0,0.9090909090909091,0,0,8,0.1
31,0.999999936,3.588e-08,2.662e-08,/tmpdir/job/1382629.32,Both,200000,1,3,1,2,40,0.1,1.0,0.9090909090909091,0,0,8,0.1
32,0.999999629,6.172e-08,3.0629e-07,/tmpdir/job/1382629.33,Defector,200000,1,3,1,2,40,0.1,1.0,0.9090909090909091,0,0,9,0.1
33,0.9999991059999999,6.1094e-07,2.777e-07,/tmpdir/job/1382629.34,Loner,200000,1,3,1,2,40,0.1,1.0,0.9090909090909091,0,0,9,0.1
34,0.999998436,6.5688e-07,9.0253e-07,/tmpdir/job/1382629.35,Neither,200000,1,3,1,2,40,0.1,1.0,0.9090909090909091,0,0,9,0.1
35,0.999999419,5.7856e-07,0.0,/tmpdir/job/1382629.36,Both,200000,1,3,1,2,40,0.1,1.0,0.9090909090909091,0,0,9,0.1
36,0.999998881,6.7381e-07,4.443e-07,/tmpdir/job/1382629.37,Defector,200000,1,3,1,2,40,0.1,1.0,0.9090909090909091,0,0,10,0.1
37,0.9999999359999999,6.422e-08,0.0,/tmpdir/job/1382629.38,Loner,200000,1,3,1,2,40,0.1,1.0,0.9090909090909091,0,0,10,0.1
