,C,D,L,_destination_path,social_norm,t,c,r,sigma,n,N,epsilon1,epsilon2,omega,alpha,beta,p,zeta
0,1.0,0.0,0.0,/tmpdir/job/1382628.1,Defector,200000,1,3,1,2,100,0.1,1.0,0.9090909090909091,0,0,1,0.1
1,1.0,0.0,0.0,/tmpdir/job/1382628.2,Loner,200000,1,3,1,2,100,0.1,1.0,0.9090909090909091,0,0,1,0.1
2,1.0,0.0,0.0,/tmpdir/job/1382628.3,Neither,200000,1,3,1,2,100,0.1,1.0,0.9090909090909091,0,0,1,0.1
3,1.0,0.0,0.0,/tmpdir/job/1382628.4,Both,200000,1,3,1,2,100,0.1,1.0,0.9090909090909091,0,0,1,0.1
4,1.0,0.0,0.0,/tmpdir/job/1382628.5,Defector,200000,1,3,1,2,100,0.1,1.0,0.9090909090909091,0,0,2,0.1
5,1.0,0.0,0.0,/tmpdir/job/1382628.6,Loner,200000,1,3,1,2,100,0.1,1.0,0.9090909090909091,0,0,2,0.1
6,1.0,0.0,0.0,/tmpdir/job/1382628.7,Neither,200000,1,3,1,2,100,0.1,1.0,0.9090909090909091,0,0,2,0.1
7,1.0,0.0,0.0,/tmpdir/job/1382628.8,Both,200000,1,3,1,2,100,0.1,1.0,0.9090909090909091,0,0,2,0.1
8,1.0,0.0,0.0,/tmpdir/job/1382628.9,Defector,200000,1,3,1,2,100,0.1,1.0,0.9090909090909091,0,0,3,0.1
9,1.0,0.0,0.0,/tmpdir/job/1382628.10,Loner,200000,1,3,1,2,100,0.1,1.0,0.9090909090909091,0,0,3,0.1
10,1.0,0.0,0.0,/tmpdir/job/1382628.11,Neither,200000,1,3,1,2,100,0.1,1.0,0.9090909090909091,0,0,3,0.1
11,1.0,0.0,0.0,/tmpdir/job/1382628.12,Both,200000,1,3,1,2,100,0.1,1.0,0.9090909090909091,0,0,3,0.1
12,1.0,0.0,0.0,/tmpdir/job/1382628.13,Defector,200000,1,3,1,2,100,0.1,1.0,0.9090909090909091,0,0,4,0.1
13,1.0,0.0,0.0,/tmpdir/job/1382628.14,Loner,200000,1,3,1,2,100,0.1,1.0,0.9090909090909091,0,0,4,0.1
