,C,D,L,uid,_destination_path,social_norm,t,c,r,sigma,n,N,epsilon1,epsilon2,omega,alpha,beta,p,zeta
0,0.152321259139,0.080556631365,0.767113981445,1.0,/tmpdir/job/9944909.1,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,2,0.1
1,0.08228343601299999,0.028490704221,0.8892190767700001,2.0,/tmpdir/job/9944909.2,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,4,0.1
2,0.061928893835,0.0213313660044,0.916732678688,3.0,/tmpdir/job/9944909.3,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,6,0.1
3,0.6564744405930001,0.049770840229,0.2937350893326,4.0,/tmpdir/job/9944909.4,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,8,0.1
4,0.9126428156649999,0.06590955703200001,0.02141482955,5.0,/tmpdir/job/9944909.5,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,10,0.1
5,0.9344163756,0.058605897227000006,0.006940035693399998,6.0,/tmpdir/job/9944909.6,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,12,0.1
6,0.13666896045500002,0.0987480787801,0.76457620886,7.0,/tmpdir/job/9944909.7,Defector,200000,1,3,1,10,100,0.1,1.0,0.9090909090909091,0,0,2,0.1
7,0.11357225664600003,0.09310681517800001,0.79331384037,8.0,/tmpdir/job/9944909.8,Defector,200000,1,3,1,10,100,0.1,1.0,0.9090909090909091,0,0,4,0.1
8,0.122561245187,0.104238892635,0.7731919325199998,9.0,/tmpdir/job/9944909.9,Defector,200000,1,3,1,10,100,0.1,1.0,0.9090909090909091,0,0,6,0.1
9,0.12977374267699998,0.11332237724000002,0.7568960998240003,10.0,/tmpdir/job/9944909.10,Defector,200000,1,3,1,10,100,0.1,1.0,0.9090909090909091,0,0,8,0.1
10,0.20006894664,0.071888444017,0.728031712337,11.0,/tmpdir/job/9944909.11,Defector,200000,1,3,1,10,100,0.1,1.0,0.9090909090909091,0,0,10,0.1
11,0.320527662685,0.07260312168699999,0.606854586185,12.0,/tmpdir/job/9944909.12,Defector,200000,1,3,1,10,100,0.1,1.0,0.9090909090909091,0,0,12,0.1
12,0.163612083303,0.13121153145599998,0.70516762745,13.0,/tmpdir/job/9944909.13,Defector,200000,1,3,1,20,100,0.1,1.0,0.9090909090909091,0,0,2,0.1
13,0.13227305273,0.126490030899,0.7412280554000001,14.0,/tmpdir/job/9944909.14,Defector,200000,1,3,1,20,100,0.1,1.0,0.9090909090909091,0,0,4,0.1
14,0.140910744839,0.145003613607,0.714076540453,15.0,/tmpdir/job/9944909.15,Defector,200000,1,3,1,20,100,0.1,1.0,0.9090909090909091,0,0,6,0.1
15,0.126406631016,0.133314647715,0.740269879511,16.0,/tmpdir/job/9944909.16,Defector,200000,1,3,1,20,100,0.1,1.0,0.9090909090909091,0,0,8,0.1
16,0.133908177022,0.1449874716404,0.72109517119,17.0,/tmpdir/job/9944909.17,Defector,200000,1,3,1,20,100,0.1,1.0,0.9090909090909091,0,0,10,0.1
17,0.12786957243799998,0.147653598459,0.7244689047609999,18.0,/tmpdir/job/9944909.18,Defector,200000,1,3,1,20,100,0.1,1.0,0.9090909090909091,0,0,12,0.1
18,0.17875916349399998,0.13824651003000002,0.682985448666,19.0,/tmpdir/job/9944909.19,Defector,200000,1,3,1,25,100,0.1,1.0,0.9090909090909091,0,0,2,0.1
19,0.142327148364,0.14616673374749997,0.711495511301,20.0,/tmpdir/job/9944909.20,Defector,200000,1,3,1,25,100,0.1,1.0,0.9090909090909091,0,0,4,0.1
20,0.149988650487,0.152409812423,0.6975912498579999,21.0,/tmpdir/job/9944909.21,Defector,200000,1,3,1,25,100,0.1,1.0,0.9090909090909091,0,0,6,0.1
21,0.13828328257,0.15830564313400003,0.7034020229489999,22.0,/tmpdir/job/9944909.22,Defector,200000,1,3,1,25,100,0.1,1.0,0.9090909090909091,0,0,8,0.1
22,0.132014140672,0.160746547473,0.7072302171839999,23.0,/tmpdir/job/9944909.23,Defector,200000,1,3,1,25,100,0.1,1.0,0.9090909090909091,0,0,10,0.1
23,0.14322359517299998,0.16871394327300004,0.6880536038190002,24.0,/tmpdir/job/9944909.24,Defector,200000,1,3,1,25,100,0.1,1.0,0.9090909090909091,0,0,12,0.1
24,0.08959864037399999,0.06391399324100001,0.8464804199180002,25.0,/tmpdir/job/9944909.25,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,2,0.1
25,0.13202464240300002,0.07974183283649999,0.788225916437,26.0,/tmpdir/job/9944909.26,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,4,0.1
26,0.170056657423,0.10168262971960002,0.7282512816539999,27.0,/tmpdir/job/9944909.27,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,6,0.1
27,0.22482978472699996,0.125804964996,0.6493547131829999,28.0,/tmpdir/job/9944909.28,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,8,0.1
28,0.59297708576,0.08063515038499999,0.32636999078699996,29.0,/tmpdir/job/9944909.29,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,10,0.1
29,0.773672724013,0.065099017163,0.16120791739999993,30.0,/tmpdir/job/9944909.30,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,12,0.1
30,0.10121750722800002,0.100695659774,0.7980745488775001,31.0,/tmpdir/job/9944909.31,Loner,200000,1,3,1,10,100,0.1,1.0,0.9090909090909091,0,0,2,0.1
31,0.11668104377899999,0.097431699563,0.785879000217,32.0,/tmpdir/job/9944909.32,Loner,200000,1,3,1,10,100,0.1,1.0,0.9090909090909091,0,0,4,0.1
32,0.12822774719599997,0.0996398847436,0.7721234498359999,33.0,/tmpdir/job/9944909.33,Loner,200000,1,3,1,10,100,0.1,1.0,0.9090909090909091,0,0,6,0.1
