,ID,Norm,p,Value
0,1.0,Defector,2,1.9137
1,2.0,Loner,2,1.44787
2,3.0,Neither,2,1.90352
3,4.0,Both,2,1.33904
4,5.0,Defector,4,2.71477
5,6.0,Loner,4,3.00721
6,7.0,Neither,4,2.36691
7,8.0,Both,4,2.79937
8,9.0,Defector,6,3.36882
9,10.0,Loner,6,4.77065
10,11.0,Neither,6,2.62488
11,12.0,Both,6,3.65245
12,13.0,Defector,8,5.31431
13,14.0,Loner,8,6.50834
14,15.0,Neither,8,4.23584
15,16.0,Both,8,4.79703
16,17.0,Defector,10,5.15791
17,18.0,Loner,10,5.93746
18,19.0,Neither,10,3.94964
19,20.0,Both,10,4.67073
20,21.0,Defector,12,4.96102
21,22.0,Loner,12,4.9727
22,23.0,Neither,12,4.11718
23,24.0,Both,12,4.59499
24,25.0,Defector,14,5.76599
25,26.0,Loner,14,5.5099
26,27.0,Neither,14,4.16206
27,28.0,Both,14,4.70114
28,29.0,Defector,16,5.28547
29,30.0,Loner,16,5.52773
30,31.0,Neither,16,3.98094
31,32.0,Both,16,4.55394
32,33.0,Defector,18,5.59509
33,34.0,Loner,18,5.74104
34,35.0,Neither,18,3.98984
35,36.0,Both,18,4.65155
36,37.0,Defector,20,5.15609
37,38.0,Loner,20,4.55044
38,39.0,Neither,20,4.01642
39,40.0,Both,20,4.72635
40,41.0,Defector,2,1.90644
41,42.0,Loner,2,1.44687
42,43.0,Neither,2,1.90037
43,44.0,Both,2,1.32353
44,45.0,Defector,4,2.75105
45,46.0,Loner,4,3.00268
46,47.0,Neither,4,2.37806
47,48.0,Both,4,2.82428
48,49.0,Defector,6,3.18093
49,50.0,Loner,6,4.81297
50,51.0,Neither,6,2.65788
51,52.0,Both,6,3.69954
52,53.0,Defector,8,5.17688
53,,,,
54,55.0,Neither,8,4.17302
55,56.0,Both,8,4.67325
56,57.0,Defector,10,4.73044
57,58.0,Loner,10,5.00204
58,59.0,Neither,10,3.99037
59,60.0,Both,10,4.68904
60,61.0,Defector,12,5.95648
61,62.0,Loner,12,5.38966
62,63.0,Neither,12,4.01937
63,64.0,Both,12,4.63826
64,65.0,Defector,14,4.98959
65,66.0,Loner,14,6.09379
66,67.0,Neither,14,4.07844
67,68.0,Both,14,4.68959
68,69.0,Defector,16,4.82616
69,70.0,Loner,16,4.0187
70,71.0,Neither,16,3.9676
71,72.0,Both,16,4.73443
72,73.0,Defector,18,5.12112
73,74.0,Loner,18,5.70163
74,75.0,Neither,18,4.01237
75,76.0,Both,18,4.60427
76,77.0,Defector,20,5.33296
77,78.0,Loner,20,5.45252
78,79.0,Neither,20,3.97417
79,80.0,Both,20,4.77282
80,81.0,Defector,2,1.91548
81,82.0,Loner,2,1.44376
82,83.0,Neither,2,1.89747
83,84.0,Both,2,1.34436
84,85.0,Defector,4,2.68575
85,86.0,Loner,4,2.98642
86,87.0,Neither,4,2.39656
87,88.0,Both,4,2.7943
88,89.0,Defector,6,3.26698
89,90.0,Loner,6,4.63982
90,91.0,Neither,6,2.68791
91,92.0,Both,6,3.7351
92,93.0,Defector,8,4.64262
93,94.0,Loner,8,6.46378
94,95.0,Neither,8,4.2607
95,96.0,Both,8,4.73393
96,97.0,Defector,10,4.73621
97,98.0,Loner,10,5.73023
98,99.0,Neither,10,4.05546
99,100.0,Both,10,4.63804
100,101.0,Defector,12,5.49429
101,102.0,Loner,12,3.96921
102,103.0,Neither,12,3.8508
103,104.0,Both,12,4.59821
104,105.0,Defector,14,5.64534
105,106.0,Loner,14,5.15741
106,107.0,Neither,14,3.98411
107,108.0,Both,14,4.66988
108,109.0,Defector,16,5.28017
109,110.0,Loner,16,5.70023
110,111.0,Neither,16,3.94936
111,112.0,Both,16,4.60154
112,113.0,Defector,18,4.70434
113,114.0,Loner,18,5.38532
114,115.0,Neither,18,3.95965
115,116.0,Both,18,4.67986
116,117.0,Defector,20,4.65307
117,118.0,Loner,20,6.21172
118,119.0,Neither,20,4.02456
119,120.0,Both,20,4.78274
120,121.0,Defector,2,1.90843
121,122.0,Loner,2,1.44038
122,123.0,Neither,2,1.89221
123,124.0,Both,2,1.33084
124,125.0,Defector,4,2.68449
125,126.0,Loner,4,3.02066
126,127.0,Neither,4,2.35678
127,128.0,Both,4,2.82798
128,129.0,Defector,6,3.79863
129,130.0,Loner,6,4.57678
130,131.0,Neither,6,2.63294
131,132.0,Both,6,3.79631
132,133.0,Defector,8,5.82537
133,134.0,Loner,8,6.48079
134,135.0,Neither,8,4.23717
135,136.0,Both,8,4.75892
136,137.0,Defector,10,4.84375
137,138.0,Loner,10,5.55573
138,139.0,Neither,10,4.0971
139,140.0,Both,10,4.66111
140,141.0,Defector,12,4.76291
141,142.0,Loner,12,3.96028
142,143.0,Neither,12,4.01311
143,144.0,Both,12,4.61187
144,145.0,Defector,14,5.07385
145,146.0,Loner,14,5.59726
146,147.0,Neither,14,3.98345
147,148.0,Both,14,4.73351
148,149.0,Defector,16,5.27738
149,150.0,Loner,16,5.80591
150,151.0,Neither,16,4.01082
151,152.0,Both,16,4.66936
152,153.0,Defector,18,5.23512
153,154.0,Loner,18,5.57816
154,155.0,Neither,18,4.01472
155,156.0,Both,18,4.67238
156,157.0,Defector,20,5.23165
157,158.0,Loner,20,5.71557
158,159.0,Neither,20,4.01585
159,160.0,Both,20,4.57969
160,161.0,Defector,2,1.90949
161,162.0,Loner,2,1.46168
162,163.0,Neither,2,1.90523
163,164.0,Both,2,1.31418
164,165.0,Defector,4,2.69906
165,166.0,Loner,4,3.0385
166,167.0,Neither,4,2.38712
167,168.0,Both,4,2.8365
168,,,,
169,170.0,Loner,6,4.74533
170,171.0,Neither,6,2.64147
171,172.0,Both,6,3.66309
172,173.0,Defector,8,5.05751
173,174.0,Loner,8,6.34256
174,175.0,Neither,8,4.18543
175,176.0,Both,8,4.7165
176,177.0,Defector,10,5.07506
177,178.0,Loner,10,4.52946
178,179.0,Neither,10,3.99051
179,180.0,Both,10,4.7219
180,181.0,Defector,12,4.7014
181,182.0,Loner,12,5.9316
182,183.0,Neither,12,3.93336
183,184.0,Both,12,4.52968
184,185.0,Defector,14,5.87318
185,186.0,Loner,14,5.76088
186,187.0,Neither,14,3.97005
187,188.0,Both,14,4.78054
188,189.0,Defector,16,5.17076
189,190.0,Loner,16,4.64682
190,191.0,Neither,16,4.00285
191,192.0,Both,16,4.64612
192,193.0,Defector,18,4.65565
193,194.0,Loner,18,5.54104
194,195.0,Neither,18,4.07426
195,196.0,Both,18,4.69302
196,197.0,Defector,20,5.77292
197,198.0,Loner,20,4.4332
198,199.0,Neither,20,4.07485
199,200.0,Both,20,4.6929
200,201.0,Defector,2,1.91364
201,202.0,Loner,2,1.4445
202,203.0,Neither,2,1.89352
203,204.0,Both,2,1.31475
204,,,,
205,206.0,Loner,4,2.99466
206,207.0,Neither,4,2.4134
207,208.0,Both,4,2.80026
208,209.0,Defector,6,3.37314
209,210.0,Loner,6,4.62349
210,211.0,Neither,6,2.65734
211,212.0,Both,6,3.85895
212,213.0,Defector,8,5.16693
213,214.0,Loner,8,6.67542
214,215.0,Neither,8,4.23042
215,216.0,Both,8,4.76473
216,217.0,Defector,10,5.62937
217,218.0,Loner,10,4.39927
218,219.0,Neither,10,4.02485
219,220.0,Both,10,4.65877
220,221.0,Defector,12,5.43543
221,222.0,Loner,12,5.64447
222,223.0,Neither,12,4.04132
223,224.0,Both,12,4.67824
224,225.0,Defector,14,5.45122
225,226.0,Loner,14,5.20236
226,227.0,Neither,14,4.01965
227,228.0,Both,14,4.69826
228,229.0,Defector,16,5.65725
229,230.0,Loner,16,5.80872
230,231.0,Neither,16,3.9596
231,232.0,Both,16,4.53211
232,233.0,Defector,18,5.4313
233,234.0,Loner,18,5.6955
234,235.0,Neither,18,3.96811
235,236.0,Both,18,4.65548
236,237.0,Defector,20,5.19683
237,238.0,Loner,20,4.11878
238,239.0,Neither,20,3.93478
239,240.0,Both,20,4.73411
240,241.0,Defector,2,1.92076
241,242.0,Loner,2,1.435
242,243.0,Neither,2,1.89789
243,244.0,Both,2,1.32372
244,245.0,Defector,4,2.73474
245,,,,
246,247.0,Neither,4,2.40293
247,248.0,Both,4,2.7914
248,249.0,Defector,6,3.52871
249,250.0,Loner,6,4.87277
250,251.0,Neither,6,2.6853
251,252.0,Both,6,3.7062
252,253.0,Defector,8,5.05408
253,254.0,Loner,8,6.56787
254,255.0,Neither,8,4.16898
255,256.0,Both,8,4.76786
256,257.0,Defector,10,5.37494
257,258.0,Loner,10,5.32386
258,259.0,Neither,10,4.00644
259,260.0,Both,10,4.70111
260,261.0,Defector,12,5.44041
261,262.0,Loner,12,5.78193
262,263.0,Neither,12,4.03795
263,264.0,Both,12,4.65274
264,265.0,Defector,14,5.40754
265,266.0,Loner,14,5.47344
266,267.0,Neither,14,4.09942
267,268.0,Both,14,4.64869
268,269.0,Defector,16,5.29366
269,270.0,Loner,16,4.76953
270,271.0,Neither,16,3.99138
271,272.0,Both,16,4.7526
272,273.0,Defector,18,5.5808
273,274.0,Loner,18,5.76021
274,275.0,Neither,18,4.00899
275,276.0,Both,18,4.61164
276,277.0,Defector,20,5.46593
277,278.0,Loner,20,5.69923
278,279.0,Neither,20,3.92685
279,280.0,Both,20,4.5979
280,281.0,Defector,2,1.90799
281,,,,
282,,,,
283,284.0,Both,2,1.31673
284,,,,
285,286.0,Loner,4,2.9734
286,287.0,Neither,4,2.40573
287,288.0,Both,4,2.75468
288,289.0,Defector,6,3.73107
289,290.0,Loner,6,4.67702
290,291.0,Neither,6,2.63703
291,292.0,Both,6,3.75368
292,293.0,Defector,8,5.14817
293,,,,
294,,,,
295,296.0,Both,8,4.69712
296,297.0,Defector,10,5.36339
297,298.0,Loner,10,5.32556
298,299.0,Neither,10,3.9692
299,300.0,Both,10,4.69272
300,301.0,Defector,12,5.23986
301,302.0,Loner,12,5.69938
302,303.0,Neither,12,4.00645
303,304.0,Both,12,4.63072
304,305.0,Defector,14,5.32361
305,306.0,Loner,14,5.07194
306,307.0,Neither,14,3.98829
307,308.0,Both,14,4.65164
308,309.0,Defector,16,5.38017
309,310.0,Loner,16,3.99065
310,311.0,Neither,16,3.96996
311,312.0,Both,16,4.72548
312,313.0,Defector,18,5.98881
313,314.0,Loner,18,5.74109
314,315.0,Neither,18,3.99275
315,316.0,Both,18,4.7933
316,317.0,Defector,20,5.47741
317,318.0,Loner,20,4.53539
318,319.0,Neither,20,3.92626
319,320.0,Both,20,4.66904
320,321.0,Defector,2,1.91849
321,322.0,Loner,2,1.45978
322,323.0,Neither,2,1.9011
323,324.0,Both,2,1.32835
324,325.0,Defector,4,2.65918
325,326.0,Loner,4,3.02067
326,327.0,Neither,4,2.3632
327,328.0,Both,4,2.81026
328,329.0,Defector,6,3.3779
329,330.0,Loner,6,4.62391
330,331.0,Neither,6,2.66455
331,332.0,Both,6,3.80565
332,333.0,Defector,8,4.89309
333,334.0,Loner,8,6.47071
334,335.0,Neither,8,4.204
335,336.0,Both,8,4.7186
336,337.0,Defector,10,5.27604
337,338.0,Loner,10,5.93186
338,339.0,Neither,10,3.99535
339,340.0,Both,10,4.6424
340,341.0,Defector,12,5.54165
341,342.0,Loner,12,4.22321
342,343.0,Neither,12,4.05196
343,344.0,Both,12,4.68986
344,345.0,Defector,14,5.67956
345,346.0,Loner,14,5.82968
346,347.0,Neither,14,4.0307
347,348.0,Both,14,4.73437
348,349.0,Defector,16,5.52017
349,350.0,Loner,16,4.79914
350,351.0,Neither,16,4.00797
351,352.0,Both,16,4.65227
352,353.0,Defector,18,5.18065
353,354.0,Loner,18,4.33625
354,355.0,Neither,18,3.99167
355,356.0,Both,18,4.58838
356,357.0,Defector,20,5.58552
357,358.0,Loner,20,5.94703
358,359.0,Neither,20,3.91736
359,360.0,Both,20,4.70813
360,361.0,Defector,2,1.91375
361,362.0,Loner,2,1.45087
362,363.0,Neither,2,1.90281
363,364.0,Both,2,1.32333
364,,,,
365,366.0,Loner,4,3.04161
366,367.0,Neither,4,2.37705
367,368.0,Both,4,2.79566
368,369.0,Defector,6,3.41762
369,370.0,Loner,6,4.86099
370,371.0,Neither,6,2.64744
371,372.0,Both,6,3.70041
372,373.0,Defector,8,5.21369
373,374.0,Loner,8,6.45604
374,375.0,Neither,8,4.21732
375,376.0,Both,8,4.75664
376,377.0,Defector,10,5.03737
377,378.0,Loner,10,5.18411
378,379.0,Neither,10,4.0562
379,380.0,Both,10,4.74106
380,381.0,Defector,12,5.31244
381,382.0,Loner,12,3.96295
382,383.0,Neither,12,3.97608
383,384.0,Both,12,4.7113
384,385.0,Defector,14,5.07806
385,386.0,Loner,14,5.96815
386,387.0,Neither,14,3.99287
387,388.0,Both,14,4.6712
388,389.0,Defector,16,4.72113
389,390.0,Loner,16,5.5992
390,391.0,Neither,16,4.03578
391,392.0,Both,16,4.66649
392,393.0,Defector,18,4.75091
393,394.0,Loner,18,5.69562
394,395.0,Neither,18,4.05648
395,396.0,Both,18,4.68366
396,397.0,Defector,20,5.07549
397,398.0,Loner,20,5.82797
398,399.0,Neither,20,4.03587
399,400.0,Both,20,4.69746
