,Norm,p,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,Defector,2,101.81124,912.17745,,,,,,,,,,,,,,,,,,
1,Loner,2,936.41225,126.21278,,,,,,,,,,,,,,,,,,
2,Neither,2,9.6803,1019.92254,,,,,,,,,,,,,,,,,,
3,Both,2,1034.01446,49.38179,,,,,,,,,,,,,,,,,,
4,Defector,4,6.70006,34.83998,957.18364,89.92688,,,,,,,,,,,,,,,,
5,Loner,4,770.36302,108.01657,126.85157,49.53458,,,,,,,,,,,,,,,,
6,Neither,4,0.00919,10.556,1017.62172,54.92391,,,,,,,,,,,,,,,,
7,Both,4,880.19176,84.49718,72.84483,29.07083,,,,,,,,,,,,,,,,
8,Defector,6,7.14477,8.87584,15.13395,829.9178,33.09124,9.51988,,,,,,,,,,,,,,
9,Loner,6,630.08467,82.16881,57.68749,172.02278,62.4477,24.22132,,,,,,,,,,,,,,
10,Neither,6,0.01047,0.51964,10.54197,1051.22381,28.23858,5.75329,,,,,,,,,,,,,,
11,Both,6,649.73812,66.35898,1.66171,58.50475,32.40015,2.99336,,,,,,,,,,,,,,
12,Defector,8,12.61143,7.55155,22.35318,15.67014,316.87631,25.11497,37.00533,16.42244,,,,,,,,,,,,
13,Loner,8,665.57271,21.25203,58.53457,49.23962,105.86986,37.09301,72.83338,21.65532,,,,,,,,,,,,
14,Neither,8,2e-05,0.0095,0.43503,8.51343,813.85112,101.06628,88.6871,37.39941,,,,,,,,,,,,
15,Both,8,699.04278,7.12306,77.97376,1.93918,62.53893,0.91442,35.08947,2.2044,,,,,,,,,,,,
16,Defector,10,11.55625,1.30002,26.2573,1.33867,0.0,8.67057,1.79371,16.00663,11.23104,0.0,,,,,,,,,,
17,Loner,10,106.7229,4.33408,14.25674,8.57089,0.0,26.06778,22.19329,31.13094,15.89452,0.0,,,,,,,,,,
18,Neither,10,8e-05,0.00437,0.20919,3.95224,0.0,391.35963,49.92187,49.6613,29.1099,0.0,,,,,,,,,,
19,Both,10,557.21458,5.62948,62.65287,1.59685,0.0,52.27625,1.02877,30.85311,3.91228,0.0,,,,,,,,,,
20,Defector,12,5.26488,0.4481,0.0,17.77327,1.80823,0.0,15.72492,2.01638,0.0,20.26111,13.91505,0.0,,,,,,,,
21,Loner,12,0.33333,0.2611,0.0,1.10795,4.0972,0.0,13.00375,22.8187,0.0,20.1806,16.97346,0.0,,,,,,,,
22,Neither,12,7e-05,0.00719,0.0,0.36929,7.00382,0.0,683.984,78.50427,0.0,70.54435,34.85576,0.0,,,,,,,,
23,Both,12,332.58756,3.32475,0.0,43.89837,1.00432,0.0,37.20741,1.17203,0.0,25.65742,6.68148,0.0,,,,,,,,
24,Defector,14,14.76634,2.31082,0.0,21.65213,0.0,4.04888,0.0,97.59468,7.2719,0.0,28.25948,0.0,15.87466,0.0,,,,,,
25,Loner,14,47.58044,2.47692,0.0,6.58573,0.0,5.56769,0.0,19.9203,24.49057,0.0,22.21453,0.0,16.684,0.0,,,,,,
26,Neither,14,4e-05,0.00677,0.0,0.33546,0.0,6.40779,0.0,625.44333,75.18658,0.0,67.39736,0.0,36.05104,0.0,,,,,,
27,Both,14,537.91486,5.46147,0.0,65.00892,0.0,1.58986,0.0,54.8052,1.11076,0.0,34.43494,0.0,3.97909,0.0,,,,,,
28,Defector,16,12.11041,0.0,5.20211,0.0,22.52027,0.0,9.99181,0.0,196.94461,0.0,18.79517,0.0,35.13941,0.0,15.33415,0.0,,,,
29,Loner,16,183.30062,0.0,8.09153,0.0,25.18271,0.0,22.02761,0.0,48.71149,0.0,20.35164,0.0,35.72561,0.0,18.90064,0.0,,,,
30,Neither,16,8e-05,0.0,0.00538,0.0,0.26652,0.0,5.03893,0.0,493.31504,0.0,56.55209,0.0,54.68899,0.0,31.6632,0.0,,,,
31,Both,16,595.34891,0.0,5.97524,0.0,56.51209,0.0,1.50789,0.0,48.33101,0.0,0.98267,0.0,29.31475,0.0,3.6805,0.0,,,,
32,Defector,18,10.86658,0.0,5.76523,0.0,24.01456,0.0,10.54316,0.0,0.0,170.37551,0.0,16.95953,0.0,39.3869,0.0,16.84416,0.0,0.0,,
33,Loner,18,94.58617,0.0,4.65414,0.0,12.73929,0.0,14.61542,0.0,0.0,29.31047,0.0,13.92523,0.0,30.22753,0.0,17.83367,0.0,0.0,,
34,Neither,18,3e-05,0.0,0.00515,0.0,0.23877,0.0,4.53481,0.0,0.0,441.93798,0.0,54.00273,0.0,50.0289,0.0,30.58469,0.0,0.0,,
