,C,D,L,social_norm,t,c,r,sigma,n,N,epsilon1,epsilon2,omega,alpha,beta,p,zeta
0,0.16148177648700002,0.0825460613975,0.7559625978085,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.0,0,2,0.1
1,0.082893125244,0.055451736703,0.8616488726639999,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.0,0,2,0.1
2,0.123063959025,0.086348220381,0.7905745441689999,Neither,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.0,0,2,0.1
3,0.041266502523,0.023175931184,0.935553398745,Both,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.0,0,2,0.1
4,0.120369428907,0.08201211931799998,0.79759034925,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.05,0,2,0.1
5,0.082270735181,0.060889115763999996,0.8568088342800002,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.05,0,2,0.1
6,0.09998717060699999,0.07506856434,0.8249130970000002,Neither,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.05,0,2,0.1
7,0.048524548076,0.031251844751,0.9201900116199999,Both,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.05,0,2,0.1
8,0.17560923736200001,0.120064897322,0.7043199123800001,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.1,0,2,0.1
9,0.12844114844600002,0.098034053519,0.7735197553,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.1,0,2,0.1
10,0.17940683481099998,0.14202277653299997,0.6785621936199999,Neither,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.1,0,2,0.1
11,0.082630101192,0.057751695471,0.8596124176800001,Both,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.1,0,2,0.1
12,0.20493067944,0.14754007721999995,0.64751884588,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.15,0,2,0.1
13,0.15554748145,0.11676234262999999,0.7276797409500001,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.15,0,2,0.1
14,0.19664657061999996,0.16467403563999997,0.6386699450400001,Neither,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.15,0,2,0.1
15,0.105956530125,0.08252571566999999,0.81150854266,Both,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.15,0,2,0.1
16,0.22085795065,0.15828746158,0.62084144756,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.2,0,2,0.1
17,0.16969355240999998,0.13283938988,0.6974545988599999,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.2,0,2,0.1
18,0.21717501664000002,0.19104306566000004,0.5917666778,Neither,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.2,0,2,0.1
19,0.13236561989999998,0.10302005432000001,0.76460066552,Both,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.2,0,2,0.1
20,0.22806188819000003,0.17139030582,0.6005358745399999,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.25,0,2,0.1
21,0.19831878867000002,0.15302385458999998,0.6486456526000001,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.25,0,2,0.1
22,0.23158364603,0.19997072349999997,0.5684325968399999,Neither,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.25,0,2,0.1
23,0.16074605270999998,0.11935198375,0.719890925,Both,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.25,0,2,0.1
24,0.24705929754999997,0.18410911817,0.5688203314,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.3,0,2,0.1
25,0.20362847732999997,0.1672345731,0.6291254645,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.3,0,2,0.1
26,0.24763257611999998,0.21157164124000002,0.5407852066000001,Neither,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.3,0,2,0.1
27,0.18474307717,0.1378569171,0.6773865855000001,Both,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0.3,0,2,0.1
