,C,D,L,uid,_destination_path,social_norm,t,c,r,sigma,n,N,epsilon1,epsilon2,omega,alpha,beta,p,zeta
0,1.416983e-06,0.0,0.9999985520000001,1.0,/tmpdir/job/1995.1,Defector,200000,1,3,1,5,100,0.1,1e-05,0.9090909090909091,0,0,2,0.1
1,0.0,0.0,1.0,2.0,/tmpdir/job/1995.2,Loner,200000,1,3,1,5,100,0.1,1e-05,0.9090909090909091,0,0,2,0.1
2,2.9850090000000003e-05,0.0,0.9999697839999998,3.0,/tmpdir/job/1995.3,Neither,200000,1,3,1,5,100,0.1,1e-05,0.9090909090909091,0,0,2,0.1
3,0.0,0.0,1.0,4.0,/tmpdir/job/1995.4,Both,200000,1,3,1,5,100,0.1,1e-05,0.9090909090909091,0,0,2,0.1
4,0.17361140975300002,0.077156377712,0.7492275233700001,5.0,,Defector,200000,1,3,1,5,100,0.1,0.2,0.9090909090909091,,,2,0.1
5,0.19794719481800002,0.09656884248099999,0.7054782999060001,6.0,,Defector,200000,1,3,1,5,100,0.1,0.25,0.9090909090909091,,,2,0.1
6,0.4631506632999999,0.0,0.5368455623,7.0,/tmpdir/job/1995.7,Neither,200000,1,3,1,5,100,0.1,1e-05,0.9090909090909091,0,0,8,0.1
7,1.8151705e-05,4.13751e-07,0.9999812640000001,8.0,/tmpdir/job/1995.8,Both,200000,1,3,1,5,100,0.1,1e-05,0.9090909090909091,0,0,8,0.1
8,0.0,0.0,1.0,9.0,/tmpdir/job/1995.9,Defector,200000,1,3,1,5,100,0.1,2.1544346900318823e-05,0.9090909090909091,0,0,2,0.1
9,0.14049744641,0.079629288535,0.7798661326749999,10.0,,Defector,200000,1,3,1,5,100,0.1,0.45,0.9090909090909091,,,2,0.1
10,0.3225152383,1.1208509999999999e-06,0.677483599,11.0,/tmpdir/job/1995.11,Neither,200000,1,3,1,5,100,0.1,2.1544346900318823e-05,0.9090909090909091,0,0,2,0.1
11,0.0,0.0,1.0,12.0,/tmpdir/job/1995.12,Both,200000,1,3,1,5,100,0.1,2.1544346900318823e-05,0.9090909090909091,0,0,2,0.1
12,0.0061737712859999995,3.1440500000000004e-07,0.9937725310000001,13.0,/tmpdir/job/1995.13,Defector,200000,1,3,1,5,100,0.1,2.1544346900318823e-05,0.9090909090909091,0,0,8,0.1
13,0.14914262835500003,0.077642478745,0.773206632273,14.0,,Defector,200000,1,3,1,5,100,0.1,0.65,0.9090909090909091,,,2,0.1
14,1.4205382000000002e-05,1.066992e-06,0.999984582,15.0,/tmpdir/job/1995.15,Neither,200000,1,3,1,5,100,0.1,2.1544346900318823e-05,0.9090909090909091,0,0,8,0.1
15,0.46484533540000006,8.637901899999999e-05,0.535057104,16.0,/tmpdir/job/1995.16,Both,200000,1,3,1,5,100,0.1,2.1544346900318823e-05,0.9090909090909091,0,0,8,0.1
16,0.00024866156,0.0,0.999748683,17.0,/tmpdir/job/1995.17,Defector,200000,1,3,1,5,100,0.1,4.641588833612782e-05,0.9090909090909091,0,0,2,0.1
17,0.5029231798,0.0,0.4970377024,18.0,/tmpdir/job/1995.18,Loner,200000,1,3,1,5,100,0.1,4.641588833612782e-05,0.9090909090909091,0,0,2,0.1
18,1.5868419999999997e-06,0.0,0.9999984040000002,19.0,/tmpdir/job/1995.19,Neither,200000,1,3,1,5,100,0.1,4.641588833612782e-05,0.9090909090909091,0,0,2,0.1
19,0.5005452992000001,0.0,0.49941570300000004,20.0,/tmpdir/job/1995.20,Both,200000,1,3,1,5,100,0.1,4.641588833612782e-05,0.9090909090909091,0,0,2,0.1
20,2.8635453000000005e-05,5.554e-08,0.9999710219999998,21.0,/tmpdir/job/1995.21,Defector,200000,1,3,1,5,100,0.1,4.641588833612782e-05,0.9090909090909091,0,0,8,0.1
21,0.22296318071000004,0.054518928289,0.7224877037,22.0,/tmpdir/job/1995.22,Loner,200000,1,3,1,5,100,0.1,4.641588833612782e-05,0.9090909090909091,0,0,8,0.1
22,5.165918000000001e-06,0.9239828850000001,0.07598999395600001,23.0,/tmpdir/job/1995.23,Neither,200000,1,3,1,5,100,0.1,4.641588833612782e-05,0.9090909090909091,0,0,8,0.1
23,1.808073e-06,6.387389999999999e-07,0.9999975010000001,24.0,/tmpdir/job/1995.24,Both,200000,1,3,1,5,100,0.1,4.641588833612782e-05,0.9090909090909091,0,0,8,0.1
24,0.0366241167,0.0,0.9633758791,25.0,/tmpdir/job/1995.25,Defector,200000,1,3,1,5,100,0.1,0.0001,0.9090909090909091,0,0,2,0.1
25,0.0,0.0,1.0,26.0,/tmpdir/job/1995.26,Loner,200000,1,3,1,5,100,0.1,0.0001,0.9090909090909091,0,0,2,0.1
26,3.689335e-06,0.0,0.9999962699999999,27.0,/tmpdir/job/1995.27,Neither,200000,1,3,1,5,100,0.1,0.0001,0.9090909090909091,0,0,2,0.1
27,0.4515514688000001,0.04512080342,0.5032948834000001,28.0,/tmpdir/job/1995.28,Both,200000,1,3,1,5,100,0.1,0.0001,0.9090909090909091,0,0,2,0.1
28,8.071950000000002e-07,5.06053e-07,0.999998664,29.0,/tmpdir/job/1995.29,Defector,200000,1,3,1,5,100,0.1,0.0001,0.9090909090909091,0,0,8,0.1
29,0.03557136369200001,0.4410810380000001,0.5233285870000001,30.0,/tmpdir/job/1995.30,Loner,200000,1,3,1,5,100,0.1,0.0001,0.9090909090909091,0,0,8,0.1
30,0.46940232000000004,0.4654504884,0.06513562792699999,31.0,/tmpdir/job/1995.31,Neither,200000,1,3,1,5,100,0.1,0.0001,0.9090909090909091,0,0,8,0.1
31,0.46426756299999994,0.0,0.5357217498,32.0,/tmpdir/job/1995.32,Both,200000,1,3,1,5,100,0.1,0.0001,0.9090909090909091,0,0,8,0.1
32,1.223995e-06,0.0,0.999998765,33.0,/tmpdir/job/1995.33,Defector,200000,1,3,1,5,100,0.1,0.00021544346900318823,0.9090909090909091,0,0,2,0.1
33,0.5667621764,0.0,0.4332040444,34.0,/tmpdir/job/1995.34,Loner,200000,1,3,1,5,100,0.1,0.00021544346900318823,0.9090909090909091,0,0,2,0.1
34,1.0,0.0,0.0,35.0,/tmpdir/job/1995.35,Neither,200000,1,3,1,5,100,0.1,0.00021544346900318823,0.9090909090909091,0,0,2,0.1
35,0.5792040827,0.006242437700000001,0.4145384967,36.0,/tmpdir/job/1995.36,Both,200000,1,3,1,5,100,0.1,0.00021544346900318823,0.9090909090909091,0,0,2,0.1
36,0.453438050369,1.145142e-06,0.546557812574,37.0,/tmpdir/job/1995.37,Defector,200000,1,3,1,5,100,0.1,0.00021544346900318823,0.9090909090909091,0,0,8,0.1
37,0.373918722628,0.09431150150999998,0.5317521759999999,38.0,/tmpdir/job/1995.38,Loner,200000,1,3,1,5,100,0.1,0.00021544346900318823,0.9090909090909091,0,0,8,0.1
38,0.30763852269900005,0.00023635322000000003,0.6921191086999999,39.0,/tmpdir/job/1995.39,Neither,200000,1,3,1,5,100,0.1,0.00021544346900318823,0.9090909090909091,0,0,8,0.1
39,0.8298889298000001,0.145586046297,0.024520740729000005,40.0,/tmpdir/job/1995.40,Both,200000,1,3,1,5,100,0.1,0.00021544346900318823,0.9090909090909091,0,0,8,0.1
40,0.32246247274,0.14034656730000003,0.53718716876,41.0,/tmpdir/job/1995.41,Defector,200000,1,3,1,5,100,0.1,0.00046415888336127773,0.9090909090909091,0,0,2,0.1
41,0.9999994980000002,5.03556e-07,0.0,42.0,/tmpdir/job/1995.42,Loner,200000,1,3,1,5,100,0.1,0.00046415888336127773,0.9090909090909091,0,0,2,0.1
