,C,D,L,uid,social_norm,t,c,r,sigma,n,N,epsilon1,epsilon2,omega,p,zeta,_destination_path,alpha,beta
0,0.0,0.0,1.0,1.0,Defector,200000,0.0,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
1,0.0,0.0,1.0,2.0,Loner,200000,0.0,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
2,0.0,0.0,1.0,3.0,Neither,200000,0.0,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
3,0.0,0.0,1.0,4.0,Both,200000,0.0,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
4,0.0028988429489999997,9.794509e-06,0.9970746570000002,5.0,Defector,200000,0.5,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
5,0.0005889772470000001,3.6291878000000004e-05,0.999370697,6.0,Loner,200000,0.5,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
6,0.003198671785000001,1.011907e-05,0.996772096,7.0,Neither,200000,0.5,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
7,0.0006693609259999999,3.3394568e-05,0.9992928449999999,8.0,Both,200000,0.5,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
8,0.159030399127,0.080987986119,0.759972656402,9.0,Defector,200000,1.0,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
9,0.090427227114,0.060612429752,0.848952946556,10.0,Loner,200000,1.0,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
10,0.11553219984900001,0.0879087052264,0.7965449776110001,11.0,Neither,200000,1.0,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
11,0.044934663585,0.024288971002400003,0.9307719040510002,12.0,Both,200000,1.0,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
12,0.14164467149699997,0.118498051657,0.7398502555590001,13.0,Defector,200000,1.5,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
13,0.08126347557500001,0.09694608937799999,0.82178356732,14.0,Loner,200000,1.5,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
14,0.10756923143499997,0.09753846446650001,0.794878789791,15.0,Neither,200000,1.5,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
15,0.03590680798,0.0408376143096,0.923252160989,16.0,Both,200000,1.5,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
16,0.16730063535499998,0.18117781967399998,0.651509042206,17.0,Defector,200000,2.0,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
17,0.12824036227900001,0.172973810735,0.6987691651129999,18.0,Loner,200000,2.0,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,,
