,C,D,L,uid,_destination_path,social_norm,t,c,r,sigma,n,N,epsilon1,epsilon2,omega,alpha,beta,p,zeta
0,0.0,0.0,1.0,1.0,/tmpdir/job/37847.1,Defector,200000,0.0,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,2,0.1
1,0.0,0.0,1.0,2.0,/tmpdir/job/37847.2,Loner,200000,0.0,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,2,0.1
2,0.0,0.0,1.0,3.0,/tmpdir/job/37847.3,Neither,200000,0.0,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,2,0.1
3,0.0,0.0,1.0,4.0,/tmpdir/job/37847.4,Both,200000,0.0,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,2,0.1
4,0.0025095362149999997,8.743287999999999e-06,0.9974654809999999,5.0,/tmpdir/job/37847.5,Defector,200000,0.5,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,2,0.1
5,0.0006418498149999999,3.2827362999999996e-05,0.9993210179999997,6.0,/tmpdir/job/37847.6,Loner,200000,0.5,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,2,0.1
6,0.003024315234,1.0553561000000002e-05,0.996946276,7.0,/tmpdir/job/37847.7,Neither,200000,0.5,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,2,0.1
7,0.000645246738,3.4298865e-05,0.9993162770000001,8.0,/tmpdir/job/37847.8,Both,200000,0.5,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,2,0.1
8,0.1491910892745,0.081654574558,0.769146045313,9.0,/tmpdir/job/37847.9,Defector,200000,1.0,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,2,0.1
9,0.09011879998900002,0.06447862118299999,0.8453952252580001,10.0,/tmpdir/job/37847.10,Loner,200000,1.0,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,2,0.1
10,0.110501920213,0.0838981906493,0.8055850612,11.0,/tmpdir/job/37847.11,Neither,200000,1.0,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,2,0.1
11,0.040887430877,0.020191730516,0.9389167136700001,12.0,/tmpdir/job/37847.12,Both,200000,1.0,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,2,0.1
12,0.134546492094,0.11393852129499997,0.7515085388760002,13.0,/tmpdir/job/37847.13,Defector,200000,1.5,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,2,0.1
13,0.08226655731,0.09138732911700001,0.826340575677,14.0,/tmpdir/job/37847.14,Loner,200000,1.5,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,2,0.1
14,0.121849311975,0.10399917161339997,0.774138734748,15.0,/tmpdir/job/37847.15,Neither,200000,1.5,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,2,0.1
15,0.033274773931,0.037857144361,0.928865137556,16.0,/tmpdir/job/37847.16,Both,200000,1.5,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,2,0.1
