,C,D,L,uid,social_norm,t,c,r,sigma,n,N,epsilon1,epsilon2,omega,p,zeta,alpha,beta
0,0.15567522361599997,0.084552837378,0.7597624990890001,1.0,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,
1,0.08709081524500001,0.06722351323100001,0.8456779202849999,2.0,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,
2,0.13124527521199997,0.09322314385660002,0.7755165652200002,3.0,Neither,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,
3,0.042424288772,0.020148508601000002,0.9374230466819998,4.0,Both,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.1,,
4,0.14792238970500002,0.09861015216700002,0.7534691095120002,5.0,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.15000000000000002,,
5,0.10580150987800002,0.08292781319199999,0.811272370508,6.0,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.15000000000000002,,
6,0.12158068326199999,0.11097767261900002,0.7674444350225001,7.0,Neither,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.15000000000000002,,
7,0.06980285911900001,0.04456596244199999,0.8856333402350001,8.0,Both,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.15000000000000002,,
8,0.12922071385,0.10578912034999999,0.7649844793209998,9.0,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.2,,
9,0.11567605996800001,0.08631995114999999,0.7980013031059999,10.0,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.2,,
10,0.132571897636,0.12161427204099996,0.745804672926,11.0,Neither,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.2,,
11,0.08164355008399998,0.054763871031,0.8635866500179998,12.0,Both,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,2,0.2,,
