,C,D,L,uid,_destination_path,social_norm,t,c,r,sigma,n,N,epsilon1,epsilon2,omega,alpha,beta,p,zeta
0,0.9705602190000001,0.027613826563000002,0.001799164774,1.0,/tmpdir/job/11979.1,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,8,0.1
1,0.20331950073300004,0.11471684820699998,0.681953911762,2.0,/tmpdir/job/11979.2,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,8,0.1
2,0.11435556351599999,0.07297345437700001,0.8126584809550002,3.0,/tmpdir/job/11979.3,Neither,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,8,0.1
3,0.45101080200099997,0.048600622366400004,0.500371644183,4.0,/tmpdir/job/11979.4,Both,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,8,0.1
4,0.6907676476910001,0.063850951193,0.2453944779234,5.0,/tmpdir/job/11979.5,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,8,0.15000000000000002
5,0.250274095147,0.141676102677,0.6080534614040001,6.0,/tmpdir/job/11979.6,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,8,0.15000000000000002
6,0.137698758956,0.10093353548399998,0.761371274979,7.0,/tmpdir/job/11979.7,Neither,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,8,0.15000000000000002
7,0.459787349516,0.0728619326666,0.467361782162,8.0,/tmpdir/job/11979.8,Both,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,8,0.15000000000000002
8,0.942854176,0.055794245826999996,0.0013402450340000002,9.0,/tmpdir/job/11979.9,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,8,0.2
9,0.254924779914,0.15253407179999998,0.592539685638,10.0,/tmpdir/job/11979.10,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,8,0.2
10,0.147667447421,0.11050612195899999,0.741819313915,11.0,/tmpdir/job/11979.11,Neither,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,8,0.2
11,0.553313665635,0.06284831543000001,0.38382627358499993,12.0,/tmpdir/job/11979.12,Both,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,8,0.2
12,0.835110352502,0.073231526572,0.09163286811799999,13.0,/tmpdir/job/11979.13,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,8,0.25
13,0.25351601281900005,0.16024950982199998,0.58623125101,14.0,/tmpdir/job/11979.14,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,8,0.25
14,0.158751915945,0.13420697105799997,0.707038513867,15.0,/tmpdir/job/11979.15,Neither,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,8,0.25
15,0.725892317353,0.052202718611,0.22189211804599995,16.0,/tmpdir/job/11979.16,Both,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,8,0.25
16,0.9166297989999999,0.08300750426600001,0.0003419176899999999,17.0,/tmpdir/job/11979.17,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,8,0.30000000000000004
17,0.272968374789,0.169012981898,0.558000848859,18.0,/tmpdir/job/11979.18,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,8,0.30000000000000004
18,0.182507712282,0.143023565203,0.6744468838279999,19.0,/tmpdir/job/11979.19,Neither,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,8,0.30000000000000004
19,0.6927418419860001,0.064200792493,0.24303424404,20.0,/tmpdir/job/11979.20,Both,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,8,0.30000000000000004
20,0.812802223139,0.10921116511500002,0.07793350920700001,21.0,/tmpdir/job/11979.21,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,8,0.35
21,0.266003780246,0.164788632115,0.569156027984,22.0,/tmpdir/job/11979.22,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,8,0.35
22,0.19781144281799995,0.15760071608,0.644533768518,23.0,/tmpdir/job/11979.23,Neither,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,8,0.35
23,0.617760108468,0.12068893401200002,0.261495494899,24.0,/tmpdir/job/11979.24,Both,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,8,0.35
24,0.821373533753,0.09350659486200003,0.085103148461,25.0,/tmpdir/job/11979.25,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,8,0.4
25,0.265094518633,0.17157232483,0.5633261142780001,26.0,/tmpdir/job/11979.26,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,8,0.4
26,0.18910452297,0.153008885606,0.657877865754,27.0,/tmpdir/job/11979.27,Neither,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,8,0.4
27,0.612847817517,0.13043706542,0.25670259406299994,28.0,/tmpdir/job/11979.28,Both,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,8,0.4
28,0.8886899489999999,0.105518164966,0.005802388064,29.0,/tmpdir/job/11979.29,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,8,0.45000000000000007
29,0.2964796340310001,0.197555314589,0.5059708877340001,30.0,/tmpdir/job/11979.30,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,8,0.45000000000000007
30,0.210297611015,0.16747389699499998,0.6222361658259999,31.0,/tmpdir/job/11979.31,Neither,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,8,0.45000000000000007
31,0.846979180911,0.08264221612200001,0.07038383230400001,32.0,/tmpdir/job/11979.32,Both,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,8,0.45000000000000007
32,0.7835243533050001,0.143598898452,0.07287384188399999,33.0,/tmpdir/job/11979.33,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,8,0.5
33,0.29253213094799996,0.205002281519,0.502463347786,34.0,/tmpdir/job/11979.34,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,8,0.5
34,0.2080933378,0.184379765821,0.6075244093109999,35.0,/tmpdir/job/11979.35,Neither,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,8,0.5
35,0.664962964248,0.12246676346200001,0.21256708450099998,36.0,/tmpdir/job/11979.36,Both,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,8,0.5
36,0.8180861260449999,0.13041420587300004,0.051464488684,37.0,/tmpdir/job/11979.37,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,8,0.55
37,0.251806048717,0.21156445099800003,0.53658765108,38.0,/tmpdir/job/11979.38,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,8,0.55
38,0.22627167309599996,0.192009512654,0.581686670487,39.0,/tmpdir/job/11979.39,Neither,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,8,0.55
39,0.6992754267150001,0.161569251075,0.13911986359,40.0,/tmpdir/job/11979.40,Both,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,8,0.55
40,0.8010132815319999,0.142413098147,0.056574486896999995,41.0,/tmpdir/job/11979.41,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,8,0.6
41,0.250520805833,0.231042096688,0.51843519229,42.0,/tmpdir/job/11979.42,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,8,0.6
42,0.233376505248,0.23250397909399997,0.534114228469,43.0,/tmpdir/job/11979.43,Neither,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,8,0.6
43,0.684216754445,0.16270137403600002,0.153080786759,44.0,/tmpdir/job/11979.44,Both,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,8,0.6
44,0.8973922948030001,0.098605612605,0.0039512537700000004,45.0,/tmpdir/job/11979.45,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,8,0.65
45,0.274089472931,0.27192194160800004,0.453925553335,46.0,/tmpdir/job/11979.46,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,8,0.65
46,0.218103961802,0.23256765217499997,0.5492844352430001,47.0,/tmpdir/job/11979.47,Neither,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,8,0.65
47,0.8017434846269998,0.13473092510399998,0.06347141396099999,48.0,/tmpdir/job/11979.48,Both,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,8,0.65
48,0.67521742798,0.18098958524999997,0.14377218686600002,49.0,/tmpdir/job/11979.49,Defector,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,8,0.7000000000000001
49,0.243838465139,0.31630410818999993,0.439835178609,50.0,/tmpdir/job/11979.50,Loner,200000,1,3,1,5,100,0.1,1.0,0.9090909090909091,0,0,8,0.7000000000000001
